Ticker,Daily_Return
4DS.AX,0.007521166374801005
ATM.AX,0.00010675507234374149
ATU.AX,3.507100469100888e-06
AZ9.AX,0.0006457735814491537
BB1.AX,0.004792022699859574
FNR.AX,0.004050800082321981
IDA.AX,0.0037623562631345195
IPC.AX,8.778781070860353e-05
KBC.AX,0.0033246817419666412
KM1.AX,0.0011454117252996112
LDX.AX,0.022162119295109757
MAF.AX,0.00013575917928229433
MTO.AX,0.0001421018859193787
NWSLV.AX,0.0017762731624061073
OEQ.AX,0.006233274535739533
PIQ.AX,0.0010990892491482582
SIG.AX,0.0022342266618208145
T3D.AX,0.0004679069591943292
VTM.AX,0.0020195407833835098
WTC.AX,0.0012498817996996997
